borough,year,month,station_name,latitude,longitude,TMAX,TMIN,TAVG,PRCP,SNOW,TAVG_calc
Bronx,2006,1,NY CITY CENTRAL PARK,40.7789,-73.9692,8.638709677419355,1.225806451612903,,126.8,51.0,4.9322580645161285
Bronx,2006,2,NY CITY CENTRAL PARK,40.7789,-73.9692,5.7749999999999995,-1.6321428571428573,,73.1,683.0,2.071428571428571
Bronx,2006,3,NY CITY CENTRAL PARK,40.7789,-73.9692,10.325806451612904,1.9774193548387096,,20.3,33.0,6.151612903225806
Bronx,2006,4,NY CITY CENTRAL PARK,40.7789,-73.9692,18.483333333333334,7.816666666666666,,141.2,3.0,13.15
Bronx,2006,5,NY CITY CENTRAL PARK,40.7789,-73.9692,21.9741935483871,12.570967741935483,,117.49999999999999,0.0,17.27258064516129
Bronx,2006,6,NY CITY CENTRAL PARK,40.7789,-73.9692,25.386666666666667,17.926666666666666,,217.1,0.0,21.656666666666666
Bronx,2006,7,NY CITY CENTRAL PARK,40.7789,-73.9692,29.538709677419355,21.509677419354837,,156.6,0.0,25.524193548387096
Bronx,2006,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.251612903225805,20.38064516129032,,154.5,0.0,24.31612903225806
Bronx,2006,9,NY CITY CENTRAL PARK,40.7789,-73.9692,22.82,15.59,,93.9,0.0,19.205
Bronx,2006,10,NY CITY CENTRAL PARK,40.7789,-73.9692,17.387096774193548,9.558064516129033,,179.6,0.0,13.47258064516129
Bronx,2006,11,NY CITY CENTRAL PARK,40.7789,-73.9692,14.116666666666667,8.01,,186.4,0.0,11.063333333333333
Bronx,2006,12,NY CITY CENTRAL PARK,40.7789,-73.9692,9.72258064516129,3.1903225806451614,,54.5,0.0,6.456451612903226
Bronx,2007,1,NY CITY CENTRAL PARK,40.7789,-73.9692,6.429032258064517,-0.3451612903225807,,92.5,67.0,3.041935483870968
Bronx,2007,2,NY CITY CENTRAL PARK,40.7789,-73.9692,1.3892857142857142,-5.553571428571429,,50.5,96.0,-2.0821428571428573
Bronx,2007,3,NY CITY CENTRAL PARK,40.7789,-73.9692,10.51290322580645,0.8419354838709678,,136.1,153.0,5.677419354838709
Bronx,2007,4,NY CITY CENTRAL PARK,40.7789,-73.9692,14.41,5.96,,331.6,0.0,10.185
Bronx,2007,5,NY CITY CENTRAL PARK,40.7789,-73.9692,24.04516129032258,12.874193548387098,,47.7,0.0,18.45967741935484
Bronx,2007,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.426666666666666,17.31,,166.6,0.0,21.868333333333332
Bronx,2007,7,NY CITY CENTRAL PARK,40.7789,-73.9692,27.95483870967742,19.799999999999997,,175.2,0.0,23.877419354838707
Bronx,2007,8,NY CITY CENTRAL PARK,40.7789,-73.9692,27.44516129032258,19.24516129032258,,182.4,0.0,23.34516129032258
Bronx,2007,9,NY CITY CENTRAL PARK,40.7789,-73.9692,25.553333333333335,16.966666666666665,,45.9,0.0,21.259999999999998
Bronx,2007,10,NY CITY CENTRAL PARK,40.7789,-73.9692,21.416129032258063,13.693548387096774,,118.4,0.0,17.55483870967742
Bronx,2007,11,NY CITY CENTRAL PARK,40.7789,-73.9692,10.873333333333333,4.033333333333333,,88.4,0.0,7.453333333333333
Bronx,2007,12,NY CITY CENTRAL PARK,40.7789,-73.9692,5.32258064516129,0.18064516129032257,,132.6,74.0,2.7516129032258063
Bronx,2008,1,NY CITY CENTRAL PARK,40.7789,-73.9692,5.783870967741936,-0.7838709677419355,,72.6,0.0,2.5
Bronx,2008,2,NY CITY CENTRAL PARK,40.7789,-73.9692,6.189655172413793,-1.9896551724137932,,151.29999999999998,228.0,2.0999999999999996
Bronx,2008,3,NY CITY CENTRAL PARK,40.7789,-73.9692,10.151612903225805,1.6709677419354838,,103.7,0.0,5.911290322580644
Bronx,2008,4,NY CITY CENTRAL PARK,40.7789,-73.9692,17.513333333333332,7.983333333333333,,70.3,0.0,12.748333333333333
Bronx,2008,5,NY CITY CENTRAL PARK,40.7789,-73.9692,20.52258064516129,10.674193548387096,,101.8,0.0,15.598387096774193
Bronx,2008,6,NY CITY CENTRAL PARK,40.7789,-73.9692,28.10666666666667,18.560000000000002,,119.39999999999999,0.0,23.333333333333336
Bronx,2008,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.125806451612902,21.438709677419357,,72.3,0.0,25.782258064516128
Bronx,2008,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.116129032258065,18.325806451612905,,141.8,0.0,23.220967741935485
Bronx,2008,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.333333333333332,16.586666666666666,,179.0,0.0,20.46
Bronx,2008,10,NY CITY CENTRAL PARK,40.7789,-73.9692,16.85483870967742,8.864516129032259,,92.0,0.0,12.859677419354838
Bronx,2008,11,NY CITY CENTRAL PARK,40.7789,-73.9692,10.683333333333334,4.696666666666667,,90.0,0.0,7.69
Bronx,2008,12,NY CITY CENTRAL PARK,40.7789,-73.9692,7.161290322580645,-0.38064516129032255,,168.2,153.0,3.390322580645161
Bronx,2009,1,NY CITY CENTRAL PARK,40.7789,-73.9692,0.7999999999999999,-5.338709677419355,,75.7,228.0,-2.2693548387096776
Bronx,2009,2,NY CITY CENTRAL PARK,40.7789,-73.9692,6.9678571428571425,-1.717857142857143,,23.6,109.0,2.625
Bronx,2009,3,NY CITY CENTRAL PARK,40.7789,-73.9692,9.838709677419354,1.7419354838709677,,44.5,211.0,5.790322580645161
Bronx,2009,4,NY CITY CENTRAL PARK,40.7789,-73.9692,17.16,7.85,,119.1,0.0,12.504999999999999
Bronx,2009,5,NY CITY CENTRAL PARK,40.7789,-73.9692,21.40967741935484,12.458064516129031,,131.3,0.0,16.933870967741935
Bronx,2009,6,NY CITY CENTRAL PARK,40.7789,-73.9692,23.6,15.813333333333333,,255.2,0.0,19.706666666666667
Bronx,2009,7,NY CITY CENTRAL PARK,40.7789,-73.9692,26.893548387096775,18.274193548387096,,180.5,0.0,22.583870967741937
Bronx,2009,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.02258064516129,20.519354838709678,,107.4,0.0,24.270967741935486
Bronx,2009,9,NY CITY CENTRAL PARK,40.7789,-73.9692,22.793333333333333,15.333333333333334,,57.6,0.0,19.063333333333333
Bronx,2009,10,NY CITY CENTRAL PARK,40.7789,-73.9692,16.190322580645162,9.32258064516129,,141.9,0.0,12.756451612903227
Bronx,2009,11,NY CITY CENTRAL PARK,40.7789,-73.9692,13.673333333333334,7.59,,41.0,0.0,10.631666666666668
Bronx,2009,12,NY CITY CENTRAL PARK,40.7789,-73.9692,5.480645161290322,-1.1419354838709677,,184.6,315.0,2.1693548387096775
Bronx,2010,1,NY CITY CENTRAL PARK,40.7789,-73.9692,3.370967741935484,-2.7935483870967746,,53.0,53.0,0.2887096774193547
Bronx,2010,2,NY CITY CENTRAL PARK,40.7789,-73.9692,3.2607142857142857,-2.017857142857143,,170.1,937.0,0.6214285714285714
Bronx,2010,3,NY CITY CENTRAL PARK,40.7789,-73.9692,12.780645161290321,5.212903225806452,,271.5,0.0,8.996774193548386
Bronx,2010,4,NY CITY CENTRAL PARK,40.7789,-73.9692,19.60666666666667,9.129999999999999,,76.0,0.0,14.368333333333334
Bronx,2010,5,NY CITY CENTRAL PARK,40.7789,-73.9692,23.54516129032258,13.422580645161291,,76.5,0.0,18.483870967741936
Bronx,2010,6,NY CITY CENTRAL PARK,40.7789,-73.9692,28.416666666666668,18.98,,56.0,0.0,23.698333333333334
Bronx,2010,7,NY CITY CENTRAL PARK,40.7789,-73.9692,32.274193548387096,22.541935483870965,,66.0,0.0,27.40806451612903
Bronx,2010,8,NY CITY CENTRAL PARK,40.7789,-73.9692,29.58709677419355,20.874193548387098,,105.2,0.0,25.230645161290326
Bronx,2010,9,NY CITY CENTRAL PARK,40.7789,-73.9692,25.956666666666667,17.44333333333333,,93.19999999999999,0.0,21.7
Bronx,2010,10,NY CITY CENTRAL PARK,40.7789,-73.9692,18.358064516129033,10.67741935483871,,124.8,0.0,14.517741935483873
Bronx,2010,11,NY CITY CENTRAL PARK,40.7789,-73.9692,11.986666666666668,5.663333333333333,,54.6,0.0,8.825000000000001
Bronx,2010,12,NY CITY CENTRAL PARK,40.7789,-73.9692,3.148387096774193,-2.296774193548387,,107.8,511.0,0.425806451612903
Bronx,2011,1,NY CITY CENTRAL PARK,40.7789,-73.9692,1.525806451612903,-4.1,,125.5,913.0,-1.2870967741935484
Bronx,2011,2,NY CITY CENTRAL PARK,40.7789,-73.9692,6.517857142857143,-2.042857142857143,,88.1,122.0,2.2375
Bronx,2011,3,NY CITY CENTRAL PARK,40.7789,-73.9692,9.964516129032258,1.5,,157.29999999999998,25.0,5.732258064516129
Bronx,2011,4,NY CITY CENTRAL PARK,40.7789,-73.9692,16.993333333333332,7.77,,136.1,0.0,12.381666666666666
Bronx,2011,5,NY CITY CENTRAL PARK,40.7789,-73.9692,22.42258064516129,13.674193548387096,,129.8,0.0,18.048387096774192
Bronx,2011,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.793333333333333,18.006666666666668,,82.7,0.0,22.4
Bronx,2011,7,NY CITY CENTRAL PARK,40.7789,-73.9692,31.6,22.01290322580645,,77.0,0.0,26.806451612903224
Bronx,2011,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.27741935483871,19.796774193548387,,481.3,0.0,24.03709677419355
Bronx,2011,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.573333333333334,17.686666666666667,,238.6,0.0,21.130000000000003
Bronx,2011,10,NY CITY CENTRAL PARK,40.7789,-73.9692,17.648387096774194,10.23225806451613,,154.7,74.0,13.940322580645162
Bronx,2011,11,NY CITY CENTRAL PARK,40.7789,-73.9692,14.74,7.346666666666667,,77.4,0.0,11.043333333333333
Bronx,2011,12,NY CITY CENTRAL PARK,40.7789,-73.9692,9.85483870967742,2.703225806451613,,101.8,0.0,6.279032258064516
Bronx,2012,1,NY CITY CENTRAL PARK,40.7789,-73.9692,6.793548387096774,-0.8741935483870968,,82.10000000000001,109.0,2.9596774193548385
Bronx,2012,2,NY CITY CENTRAL PARK,40.7789,-73.9692,8.241379310344827,1.6241379310344828,,34.9,5.0,4.932758620689655
Bronx,2012,3,NY CITY CENTRAL PARK,40.7789,-73.9692,15.109677419354838,5.929032258064517,,24.4,0.0,10.519354838709678
Bronx,2012,4,NY CITY CENTRAL PARK,40.7789,-73.9692,17.576666666666664,7.71,,90.5,0.0,12.643333333333333
Bronx,2012,5,NY CITY CENTRAL PARK,40.7789,-73.9692,22.225806451612904,14.558064516129033,,136.5,0.0,18.391935483870967
Bronx,2012,6,NY CITY CENTRAL PARK,40.7789,-73.9692,26.09,17.226666666666667,,75.6,0.0,21.65833333333333
Bronx,2012,7,NY CITY CENTRAL PARK,40.7789,-73.9692,30.700000000000003,21.251612903225805,,106.89999999999999,0.0,25.975806451612904
Bronx,2012,8,NY CITY CENTRAL PARK,40.7789,-73.9692,28.98709677419355,20.683870967741935,,74.1,0.0,24.835483870967742
Bronx,2012,9,NY CITY CENTRAL PARK,40.7789,-73.9692,24.38,16.523333333333333,,111.6,0.0,20.451666666666668
Bronx,2012,10,NY CITY CENTRAL PARK,40.7789,-73.9692,17.616129032258065,11.325806451612904,,74.4,0.0,14.470967741935485
Bronx,2012,11,NY CITY CENTRAL PARK,40.7789,-73.9692,9.843333333333334,3.3466666666666667,,46.0,119.0,6.595000000000001
Bronx,2012,12,NY CITY CENTRAL PARK,40.7789,-73.9692,7.948387096774193,2.5677419354838706,,122.0,10.0,5.258064516129032
Bronx,2013,1,NY CITY CENTRAL PARK,40.7789,-73.9692,4.906451612903226,-1.4838709677419355,,70.1,38.0,1.711290322580645
Bronx,2013,2,NY CITY CENTRAL PARK,40.7789,-73.9692,4.085714285714286,-1.957142857142857,,108.0,311.0,1.0642857142857145
